igekötő	reduplikáció	fele	deverbális_tagadás	fokozhatóság	szerkesztettség	szótagszám	gyakoriság	Pm	Pt	Pl	személyragozhatóság
fejen	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-0.7562220146450985	-0.4843706013552963	-0.4319483931472286	1.9331715700008316	-0.23197340190811358
fel	2.456284711523908	2.7902587682144957	2.3555105151039646	3.315861708836138	-1.7469184691710817	-2.2349120844002037	1.890724243449273	2.6572293903239577	2.518820472458613	-0.7639406749020433	-0.23197340190811358
félbe	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	0.9644650214579555	-0.19085472149759794	-0.10506319737099518	-0.6861396184578672	-0.23197340190811358
félre	2.35038426937232	-0.374270239045317	-0.4752462760096982	3.300241799760028	0.5724365605193372	0.006178244195487286	1.2829997473018753	1.7231083333250319	1.6560381100373267	-0.5978600137483265	-0.23197340190811358
felül	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	-1.7469184691710817	0.006178244195487286	1.265806319307931	0.36155212926726693	0.27493183661891507	-0.7368470752542935	-0.23197340190811358
fenn	1.491929865968994	-0.374270239045317	2.32615384918244	2.6652833231805606	-1.7469184691710817	-2.2349120844002037	1.4093415890897807	-0.36348132066337246	-0.4319483931472286	-0.7885674762999938	-0.23197340190811358
férjhez	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-0.4569883728918919	-0.4843706013552963	-0.5497664804233818	-0.07533563208405426	-0.23197340190811358
főbe	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-0.12440498195482075	-0.4843706013552963	-0.49027809414718754	-0.015772186206553424	-0.23197340190811358
föl	2.4559423872037938	2.7902582404544045	2.3420303490195438	3.3158597160481333	-1.7469184691710817	-2.2349120844002037	1.5093948268569224	2.6445232980922513	2.4938554614180175	-0.5775365483613905	-0.23197340190811358
földet	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-1.719154271314397	-0.5466268791587646	-0.5497664804233818	-0.7913180807954471	-0.23197340190811358
földhöz	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-0.44595767949088383	-0.4843706013552963	-0.49027809414718754	-0.4808310684048988	-0.23197340190811358
földre	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-0.5607180774704235	-0.42333003446528283	-0.37475469665084754	1.8423231476133057	-0.23197340190811358
fölé	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	-1.7469184691710817	0.006178244195487286	0.22371264571528007	0.22256270305912215	0.4027239768106925	1.4483453214209951	4.310838429648736
fölül	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	-1.7469184691710817	0.006178244195487286	0.4328937010173726	-0.30480107263948114	-0.37475469665084754	-0.4303477699889789	-0.23197340190811358
fönn	1.491929865968994	-0.374270239045317	-0.4752462760096982	2.6652833231805606	-1.7469184691710817	-2.2349120844002037	0.7236380802427999	-0.4843706013552963	-0.5497664804233818	-0.7721239494147527	-0.23197340190811358
fülön	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-0.43527061475219675	-0.4843706013552963	-0.4319483931472286	1.0463276399777148	-0.23197340190811358
füstbe	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-1.0015067191891038	-0.5466268791587646	-0.5497664804233818	1.1658656406173888	-0.23197340190811358
görcsbe	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-1.1134954357463978	-0.5466268791587646	-0.5497664804233818	-0.7913180807954471	-0.23197340190811358
gúzsba	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-1.1134954357463978	-0.5466268791587646	-0.5497664804233818	-0.7913180807954471	-0.23197340190811358
hadat	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-1.3740008471477945	-0.5466268791587646	-0.5497664804233818	-0.7913180807954471	-0.23197340190811358
hadba	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-0.8429978471107649	-0.4843706013552963	-0.5497664804233818	0.675817101952375	-0.23197340190811358
