igekötő	reduplikáció	-fele/felé	deverbális_tagadás	fokozhatóság	szerkesztettség	szótagszám	gyakoriság	Pm	Pt	Pl	személyragozhatóság
ott	0	0	0	0	0	0.00219	0.00084	0.0006	0.0003	0.00003	0
padlót	0	0	0	0	0.00565	0.00439	0	0	0	0.04344	0
partra	0	0	0	0	0.00565	0.00439	0.00001	0.0001	0.0001	0.0015	0
piacra	0	0	0	0	0.00565	0.00658	0	0	0	0.00621	0
pofán	0	0	0	0	0.00565	0.00439	0.00001	0.0003	0.0003	0.00255	0
pofon	0	0	0	0	0.00565	0.00439	0.00001	0.0002	0.0002	0.00276	0
porba	0	0	0	0	0.00565	0.00439	0	0.0001	0.0001	0.01629	0
pórul	0	0	0	0	0.00565	0.00439	0	0	0	0	0
rá/reá	0.01068	0.00027	0.00037	0	0	0.00219	0.01441	0.03122	0.0302	0.00015	0.49291
rabul	0	0	0	0	0.00565	0.00439	0	0	0	0	0
rajta	0	0	0	0	0	0.00439	0.00018	0.0004	0	0	0.03033
rendbe	0	0	0	0	0.00565	0.00439	0.00009	0.0004	0.0002	0.00022	0
rendre	0	0	0.00019	0	0.00565	0.00439	0.00002	0.0001	0.0001	0.00065	0
részre	0	0	0	0	0.00565	0.00439	0	0	0	0	0
részt	0	0	0	0	0.00565	0.00219	0.00008	0	0	0	0
ringbe	0	0	0	0	0.00565	0.00439	0	0	0	0.04344	0
romba	0	0	0	0	0.00565	0.00439	0	0	0	0	0
rosszul	0	0	0	0	0.00565	0.00439	0.00001	0.0001	0.0001	0.00081	0
sárba	0	0	0	0	0.00565	0.00439	0	0	0	0	0
seggbe	0	0	0	0	0.00565	0.00439	0.00001	0.0003	0.0004	0.00508	0
seggre	0	0	0	0	0.00565	0.00439	0	0.0001	0	0.00621	0
semmibe	0	0	0	0	0.00565	0.00658	0	0	0	0	0
síkra	0	0	0	0	0.00565	0.00439	0.00002	0	0	0	0
sorba	0	0	0	0	0.00565	0.00439	0.00001	0.0002	0.0002	0.00239	0
sorban	0	0	0	0	0.00565	0.00439	0	0	0	0	0
sorra	0	0	0	0	0.00565	0.00439	0	0.0001	0.0001	0.00217	0
szájon	0	0	0	0	0.00565	0.00439	0	0.0001	0.0001	0.00395	0
számba	0	0	0	0	0.00565	0.00439	0.00001	0.0001	0	0.00032	0
számon	0	0	0	0	0.00565	0.00439	0.00001	0	0	0	0
számot	0	0	0	0	0.00565	0.00439	0	0	0	0	0
szárba	0.00012	0	0	0	0.00565	0.00439	0	0	0	0	0
szárnyra	0	0	0	0	0.00565	0.00439	0	0.0001	0	0.00543	0
szarrá	0	0	0	0	0.00565	0.00439	0	0.0002	0.0002	0.01448	0
széjjel	0	0.00027	0	0.00122	0	0.00439	0.00004	0.0027	0.00411	0.00763	0
szembe	0	0	0.00037	0	0.00565	0.00439	0.00117	0.0026	0.00301	0.00019	0
szemben	0	0	0	0	0.00565	0.00439	0.00002	0	0	0	0
szemen	0	0	0	0	0.00565	0.00439	0	0.0002	0.0002	0.00828	0
szemet	0	0	0	0	0.00565	0.00439	0	0.0001	0	0.00207	0
szemmel	0	0	0	0	0.00565	0.00439	0	0	0	0.01086	0
szemre	0	0	0	0	0.00565	0.00439	0.00003	0	0	0	0
szénné	0	0	0	0	0.00565	0.00439	0	0.0001	0.0001	0.04344	0
szerte	0	0.00009	0	0	0	0.00439	0.00014	0.0025	0.00391	0.00213	0
szét	0.00062	0.00036	0.00112	0	0	0.00219	0.00362	0.02061	0.02388	0.00049	0
színre	0	0	0	0	0.00565	0.00439	0	0.0001	0	0	0
szóba	0	0	0	0	0.00565	0.00439	0.00006	0.0001	0	0	0
szörnyet	0	0	0	0	0.00565	0.00439	0.00006	0	0	0.00006	0
szót	0	0	0	0	0.00565	0.00219	0	0.0001	0	0	0
szóvá	0	0	0	0	0.00565	0.00439	0.00001	0	0	0	0
talpon	0	0	0	0	0.00565	0.00439	0	0	0.0001	0.04344	0
talpra	0	0	0	0	0.00565	0.00439	0.00001	0.0002	0.0004	0.00338	0
táncra	0	0	0	0	0.00565	0.00439	0	0	0	0	0
tarkón	0	0	0	0	0.00565	0.00439	0	0.0001	0.0001	0.01303	0
tele/teli	0.00012	0	0	0	0	0.00439	0.00036	0.0073	0.01033	0.00207	0
témába	0	0	0	0	0.00565	0.00658	0	0	0	0.04344	0
térdre	0	0	0	0	0.00565	0.00439	0	0.0002	0.0002	0.0079	0
testet	0	0	0	0	0.00565	0.00439	0	0	0	0	0
testre	0	0	0	0	0.00565	0.00439	0.00001	0	0	0	0
tetten	0	0	0.00019	0	0.00565	0.00439	0	0	0	0	0
tisztán	0	0	0	0	0.00565	0.00439	0	0	0	0	0
tökön	0	0	0	0	0.00565	0.00439	0	0.0001	0.0001	0.00198	0
tollba	0	0	0	0	0.00565	0.00439	0	0	0	0	0
tönkre	0	0.00018	0	0	0.00565	0.00439	0.00121	0.001	0.00161	0.0001	0
tőrbe	0	0	0	0	0.00565	0.00439	0	0	0	0	0
torkon	0	0	0	0	0.00565	0.00439	0	0.0001	0.0002	0.02414	0
törvényt	0	0	0	0	0.00565	0.00439	0	0	0.0001	0.04344	0
tova	0.00012	0.00036	0	0	0	0.00439	0.00008	0.0029	0.00411	0.00363	0
tovább	0	0	0.00093	0	0.00565	0.00439	0.0022	0.01391	0.01515	0.0005	0
trónra	0	0	0	0	0.00565	0.00439	0	0	0	0	0
tükörbe	0	0	0	0	0.00565	0.00658	0	0	0	0.04344	0
túl	0	0	0.00019	0	0	0.00219	0.00384	0.01561	0.01826	0.00036	0
tűzbe	0	0	0	0	0.00565	0.00439	0	0.0001	0	0.00434	0
újjá	0	0	0	0	0.00565	0.00439	0.00051	0.0013	0.0012	0.00018	0
újra	0	0	0.00037	0	0.00565	0.00439	0.00202	0.01481	0.01545	0.00056	0
utána	0	0	0	0	0	0.00658	0.00064	0.0047	0.00622	0.00065	0.03721
utat	0	0	0	0	0.00565	0.00439	0	0	0	0.04344	0
útba	0	0	0	0	0.00565	0.00439	0.00002	0.0001	0.0001	0.00042	0
utol	0.00025	0	0	0	0	0.00439	0.00045	0	0	0	0
útra	0.00012	0	0	0	0.00565	0.00439	0.00001	0.0001	0	0.00048	0
valóra	0	0	0	0	0.00565	0.00658	0	0	0	0	0
végbe	0	0	0	0	0.00565	0.00439	0.00016	0	0	0	0
