igekötő	reduplikáció	-fele/felé	fokozhatóság	szerkesztettség	szótagszám	gyakoriság	Pm	Pt	Pl	személyragozhatóság
szájon	0	0	0	0.00565	0.0044	0	0.0001	0.0001	0.00529	0
számba	0	0	0	0.00565	0.0044	0.00001	0.0001	0	0.0003	0
számon	0	0	0	0.00565	0.0044	0.00001	0	0	0	0
számot	0	0	0	0.00565	0.0044	0	0.0001	0	0.00676	0
szárba	0.00012	0	0	0.00565	0.0044	0	0	0	0	0
szárnyra	0	0	0	0.00565	0.0044	0	0.0001	0	0.00507	0
szarrá	0	0	0	0.00565	0.0044	0	0.0002	0.0004	0.0192	0
széjjel	0	0.00027	0.00122	0	0.0044	0.00004	0.0027	0.00411	0.00712	0
szembe	0	0	0	0.00565	0.0044	0.00111	0.0026	0.00301	0.00018	0
szemben	0	0	0	0.00565	0.0044	0.00002	0	0	0	0
szemen	0	0	0	0.00565	0.0044	0	0.0002	0.0002	0.00772	0
szemet	0	0	0	0.00565	0.0044	0	0.0001	0	0.00193	0
szemmel	0	0	0	0.00565	0.0044	0	0	0	0.01013	0
szemre	0	0	0	0.00565	0.0044	0.00003	0	0	0	0
szénné	0	0	0	0.00565	0.0044	0	0.0001	0.0002	0.04054	0
szerte	0	0.00009	0	0	0.0044	0.00013	0.0025	0.00391	0.00199	0
szét	0.00062	0.00036	0	0	0.0022	0.0035	0.02052	0.02377	0.00046	0
színre	0	0	0	0.00565	0.0044	0	0.0001	0	0	0
szóba	0	0	0	0.00565	0.0044	0.00005	0.0001	0	0	0
szörnyet	0	0	0	0.00565	0.0044	0.00006	0	0	0.00005	0
szót	0	0	0	0.00565	0.0022	0	0.0001	0	0	0
szóvá	0	0	0	0.00565	0.0044	0.00001	0	0	0	0
talpon	0	0	0	0.00565	0.0044	0	0	0.0001	0.04054	0
talpra	0	0	0	0.00565	0.0044	0.00001	0.0002	0.0004	0.00315	0
táncra	0	0	0	0.00565	0.0044	0	0	0	0	0
tarkón	0	0	0	0.00565	0.0044	0	0.0001	0.0002	0.01689	0
tele/teli	0.00012	0	0	0	0.0044	0.00036	0.00731	0.01033	0.00193	0
témába	0	0	0	0.00565	0.00659	0	0	0	0.04054	0
térdre	0	0	0	0.00565	0.0044	0	0.0002	0.0002	0.00737	0
testet	0	0	0	0.00565	0.0044	0	0	0	0	0
testre	0	0	0	0.00565	0.0044	0.00001	0	0	0	0
tetten	0	0	0	0.00565	0.0044	0	0	0	0	0
tisztán	0	0	0	0.00565	0.0044	0	0	0	0	0
tökön	0	0	0	0.00565	0.0044	0	0.0001	0.0002	0.00353	0
tollba	0	0	0	0.00565	0.0044	0	0	0	0	0
tönkre	0	0.00018	0	0.00565	0.0044	0.00118	0.001	0.0016	0.00009	0
tőrbe	0	0	0	0.00565	0.0044	0	0	0	0	0
torkon	0	0	0	0.00565	0.0044	0	0.0001	0.0002	0.02252	0
törvényt	0	0	0	0.00565	0.0044	0	0	0.0001	0.04054	0
tova	0.00012	0.00036	0	0	0.0044	0.00008	0.0029	0.00411	0.00339	0
tovább	0	0	0	0.00565	0.0044	0.00216	0.01381	0.01505	0.00047	0
trónra	0	0	0	0.00565	0.0044	0	0	0	0	0
tükörbe	0	0	0	0.00565	0.00659	0	0	0	0.04054	0
túl	0	0	0	0	0.0022	0.0037	0.01561	0.01816	0.00033	0
tűzbe	0	0	0	0.00565	0.0044	0	0.0001	0.0001	0.00737	0
újjá	0	0	0	0.00565	0.0044	0.00049	0.0013	0.0012	0.00017	0
újra	0	0	0	0.00565	0.0044	0.00199	0.01481	0.01545	0.00052	0
utána	0	0	0	0	0.00659	0.00069	0.0047	0.00622	0.00061	0.03721
utat	0	0	0	0.00565	0.0044	0	0	0	0.04054	0
útba	0	0	0	0.00565	0.0044	0.00002	0.0001	0.0001	0.00039	0
utol	0.00025	0	0	0	0.0044	0.00043	0	0	0	0
útra	0.00012	0	0	0.00565	0.0044	0.00001	0.0001	0	0.00045	0
valóra	0	0	0	0.00565	0.00659	0	0	0	0	0
végbe	0	0	0	0.00565	0.0044	0.00015	0	0	0	0
véget	0	0	0	0.00565	0.0044	0.00003	0.0001	0	0.00012	0
véghez	0	0	0	0.00565	0.0044	0.00007	0.0001	0	0	0
